pair,predicted,actual,error
SHIB_USDT,"[1.2919512300868519e-05, 1.2918729225930292e-05, 1.291739408770809e-05, 1.2915535990032367e-05, 1.291325952479383e-05]","[1.293e-05, 1.291e-05, 1.291e-05, 1.293e-05, 1.292e-05]",9.563099588733083e-09
TRX_USDT,"[0.29312774538993835, 0.2931334972381592, 0.2931399941444397, 0.29314741492271423, 0.29315561056137085]","[0.2932, 0.2932, 0.293, 0.2931, 0.2931]",7.635540008544827e-05
DOGE_USDT,"[0.19024302065372467, 0.19025346636772156, 0.19025947153568268, 0.19026131927967072, 0.19026023149490356]","[0.19055, 0.19004, 0.19026, 0.1902, 0.19026]",0.00011650499057769826
OP_USDT,"[0.6935876607894897, 0.6934431791305542, 0.6933548450469971, 0.6933056712150574, 0.693282961845398]","[0.694, 0.693, 0.693, 0.693, 0.693]",0.00035979928970339967
ARB_USDT,"[0.39167267084121704, 0.391600638628006, 0.39156678318977356, 0.3915621042251587, 0.39157629013061523]","[0.3922, 0.3916, 0.3917, 0.3909, 0.3905]",0.00047991579055784995
ADA_USDT,"[0.6912493109703064, 0.6911113858222961, 0.6909751296043396, 0.690834641456604, 0.6906877756118774]","[0.6923, 0.6915, 0.692, 0.6913, 0.6914]",0.0007283513069152869
XRP_USDT,"[2.2716424465179443, 2.2715587615966797, 2.271477222442627, 2.271388053894043, 2.271286964416504]","[2.2741, 2.272, 2.2729, 2.2715, 2.2718]",0.0009893102264403098
ATOM_USDT,"[4.478970527648926, 4.478794574737549, 4.478755474090576, 4.478786945343018, 4.478837013244629]","[4.481, 4.478, 4.482, 4.477, 4.479]",0.0016037010192871293
RUNE_USDT,"[1.7056684494018555, 1.705458641052246, 1.7052403688430786, 1.7050000429153442, 1.7047346830368042]","[1.709, 1.706, 1.708, 1.705, 1.707]",0.0017795801162719727
DOT_USDT,"[4.197922706604004, 4.1974687576293945, 4.197199821472168, 4.197027206420898, 4.196897029876709]","[4.203, 4.201, 4.198, 4.199, 4.197]",0.0022968955993652785
SUI_USDT,"[3.4147555828094482, 3.414623260498047, 3.414297342300415, 3.4138476848602295, 3.4133236408233643]","[3.4194, 3.4137, 3.4186, 3.414, 3.4173]",0.002799801940918023
LINK_USDT,"[14.970325469970703, 14.968648910522461, 14.968583106994629, 14.969049453735352, 14.969673156738281]","[15.0, 14.98, 14.99, 14.97, 14.96]",0.014613243103027428
AVAX_USDT,"[21.74043846130371, 21.74261474609375, 21.745868682861328, 21.749588012695312, 21.75344467163086]","[21.77, 21.75, 21.75, 21.73, 21.74]",0.014822158813476705
LTC_USDT,"[90.7269058227539, 90.73051452636719, 90.73330688476562, 90.73523712158203, 90.73648834228516]","[90.73, 90.68, 90.75, 90.7, 90.72]",0.02440545654296784
SOL_USDT,"[156.8791046142578, 156.8809051513672, 156.8670654296875, 156.84136962890625, 156.80909729003906]","[156.93, 156.68, 156.89, 156.87, 156.96]",0.09085363769531227
BNB_USDT,"[658.9889526367188, 658.9319458007812, 658.9011840820312, 658.8696899414062, 658.8313598632812]","[659.38, 659.45, 659.61, 659.0, 659.05]",0.39337353515625184
ETH_USDT,"[2736.631103515625, 2737.208740234375, 2737.697021484375, 2738.09326171875, 2738.400146484375]","[2735.54, 2732.3, 2736.23, 2736.3, 2735.53]",2.426054687499891
BTC_USDT,"[108566.0, 108567.203125, 108566.390625, 108563.015625, 108557.1875]","[108600.0, 108486.01, 108562.24, 108556.59, 108554.4]",25.711375000001862
